#      Temp          vlos          vturb         n_e
      334.870       771662.       147369.   6.90657e+11
      323.816       629284.       200510.   2.41012e+11
      293.452       755055.       165422.   7.53984e+11
      375.126       609694.       209902.   4.91348e+11
      327.871       465286.       201050.   1.04475e+12
      307.722       474294.       163168.   1.32158e+12
      197.116       343199.       97415.6   3.27860e+11
      201.807       239501.       105047.   8.66490e+11
      322.009       409966.       150514.   3.05833e+12
      237.653       352948.       98820.2   9.58379e+11
      777.802   1.28891e+06       482169.   3.23950e+11
      596.914   7.63753e+06       344563.   5.79056e+11
      221.521       436005.       125562.   1.16605e+11
      154.553       219198.       65562.6   4.11662e+11
      255.810       347133.       140901.   1.58381e+12
      136.639       314150.       74765.0   1.88176e+11
      168.051       237119.       48080.2   1.49808e+11
      418.169       696412.       275342.   8.77507e+11
         -NaN          -NaN          -NaN          -NaN
      144.560       184783.       59306.9   2.00231e+11
      769.162   3.95546e+06   1.30806e+06   2.09714e+12
      127.827       184956.       46021.4   2.91735e+11
      212.478       406616.       118280.   2.33308e+11
      229.376       509507.       125104.   3.01080e+11
      588.110       855430.       404255.   4.09489e+11
      112.980       162320.       39020.5   2.01201e+11
      179.989       438922.       66238.1   6.51273e+11
      469.350       792957.       331761.   8.10951e+11
      461.499       775886.       324269.   8.00206e+11
      309.866       497957.       172865.   3.49696e+12
      176.494       336868.       96533.2   1.90589e+11
      84.1169       141031.       37230.0   4.93541e+11
      195.043       344271.       87738.0   4.93340e+11
      240.535       396510.       104085.   9.86550e+11
      427.170       578574.       217699.   2.02806e+12
      313.822       526403.       180361.   1.94180e+11
      534.636       761878.       370781.   6.91711e+11
      129.522       171053.       38752.2   1.62131e+11
      109.275       518552.       42025.1   5.71588e+11
      299.315       578981.       184538.   6.72496e+11
      337.894       666238.       212292.   7.58141e+11
      277.386       514822.       200822.   2.84430e+11
      145.887       334367.       76225.5   1.47851e+11
      133.124       244496.       61623.5   1.47982e+11
      338.167       597008.       205583.   2.81553e+11
      264.111       365213.       142394.   7.77812e+11
      124.394       254494.       62967.1   3.74517e+11
      215.771       457049.       100383.   3.38126e+11
      287.690       563646.       120211.   9.61183e+11
      336.287       615425.       261014.   3.77421e+11
      160.579       347127.       79203.1   3.35937e+11
      92.3618       170633.       43097.8   2.96195e+11
      179.903       877368.       94560.9   1.93693e+11
      102.539       445176.       40873.8   1.19878e+11
      307.042       557142.       208955.   1.12456e+12
      92.7422       145015.       40027.1   3.07895e+11
      181.249       211019.       50425.3   1.41584e+11
      247.329       390149.       125890.   1.46735e+11
      140.871       254670.       73023.4   1.75428e+11
      272.287       544025.       164173.   1.53603e+11
      89.6120       123158.       32965.8   1.50565e+11
      157.029       238142.       69431.8   2.38095e+11
      126.409       249977.       62942.4   1.90298e+11
      308.018       647749.       247258.   2.10660e+11
      60.0854       102883.       25841.6   7.86138e+10
      80.6690       141095.       35477.2   1.07184e+11
      71.2464       122695.       30950.3   9.63022e+10
      438.140       876876.       339685.   4.50054e+11
      252.152       431122.       147177.   2.61429e+11
      92.4727       128358.       34504.7   1.54151e+11
      374.793   2.00438e+06       222546.   1.71686e+12
      360.100       599564.       232251.   3.33165e+11
      117.352       239431.       55275.7   3.04766e+11
      223.980   1.09697e+06       89665.1   1.16082e+12
      162.573       499416.       71855.0   3.41620e+11
      392.729       848924.       300670.   3.56606e+11
      544.400   1.06144e+06       437606.   4.85218e+11
      122.430       261260.       62979.5   1.35909e+11
      473.896       955697.       406398.   4.98097e+11
      223.492       428432.       105206.   3.81890e+11
      155.703       383791.       47033.2   1.83706e+11
      94.6721       152284.       40715.2   2.40592e+11
      275.533       442867.       210807.   4.87208e+11
      453.590       611031.       288044.   2.77168e+11
      105.036       208940.       35829.8   2.19784e+11
      145.635       274531.       62671.6   4.16657e+11
      309.750       627158.       181118.   1.04727e+12
      361.870       840038.       230525.   1.03214e+12
      635.731   1.00630e+06       452843.   4.99436e+11
      286.646       419062.       145772.   1.30758e+12
      80.0196       174104.       187781.   1.02856e+10
      430.293       622447.       246870.   8.11935e+11
      628.720   1.34415e+06       459498.   3.43355e+11
      120.677       245338.       63897.4   1.55510e+11
      510.738   1.01553e+06       361502.   6.00348e+11
      332.963       492127.       169578.   1.50796e+12
      278.776       612236.       194181.   1.54480e+11
      191.219       321060.       90851.1   1.02145e+12
      239.223       368417.       137526.   4.64270e+11
      1911.43   7.19150e+06   1.64881e+06   6.45904e+11
      720.721   1.11695e+06       567155.   3.60988e+11
      253.177       475081.       118250.   7.14786e+11
      174.754       476144.       77552.9   5.46639e+11
      488.038       624646.       305716.   3.45558e+11
      392.099       601826.       158226.   3.56085e+11
      149.700       267271.       68168.8   4.12027e+11
      209.065       490388.       125950.   1.78763e+11
      128.065       317446.       66029.2   1.03466e+11
      109.250       195238.       50282.0   2.99907e+11
      220.984       440076.       127453.   1.78195e+11
      145.317       385896.       68998.8   1.97010e+11
      772.589   6.01738e+06       471204.   3.17507e+12
      330.480       781722.       230376.   1.87302e+11
      223.263       645779.       122235.   2.32260e+11
      116.459       294580.       37857.3   1.39288e+11
      194.859       320415.       100360.   2.77820e+11
      108.253   1.25476e+06       38550.6   1.84114e+11
      174.581       308786.       87622.2   4.60444e+11
      4403.89   6.24082e+06   6.63688e+06   5.51368e+11
      316.003   1.45493e+06       227089.   1.39265e+11
      372.985       538182.       187539.   1.69493e+12
      376.786       560224.       96624.8   2.59990e+11
      558.041   1.11477e+06       396296.   6.61856e+11
      132.760       537157.       57047.9   3.36529e+11
      220.397       282127.       63697.6   1.57107e+11
  3.24613e-14       211860.       49427.8   1.61286e+11
      370.483       798894.       223473.   4.16483e+11
      291.162       389894.       167172.   1.46705e+12
      382.632   1.28541e+06       236033.   2.23543e+11
      166.617       448633.       91332.3   2.35111e+11
      352.916       507108.       186969.   4.48668e+11
      227.363       403732.       71417.1   2.08733e+11
      743.816   1.31296e+06       634140.   3.64613e+11
      448.403       748980.       316409.   7.67370e+11
      230.054       402207.       70198.6   2.02044e+11
      242.234       316214.       82823.6   2.40213e+11
      783.947   3.23857e+06       534775.   9.63684e+11
      296.304       505037.       138735.   5.66302e+11
      262.482       450562.       125000.   4.98203e+11
      388.696       523967.       192336.   8.90340e+11
      454.622       643593.       254033.   3.03644e+12
      213.206       374030.       65737.9   1.92205e+11
      271.943       371611.       121494.   1.97937e+12
      328.342       678780.       202504.   3.44947e+11
      615.905   1.56534e+06   3.92946e+06   6.95426e+11
      57.7185       133372.       26211.3   3.59592e+11
      204.301       436778.       89767.3   4.84987e+11
      717.814   1.51125e+06       584071.   3.73415e+11
      176.693       256120.       76085.6   5.72170e+11
      227.952       386368.       117051.   3.67481e+11
      147.025       253174.       67717.5   1.32656e+11
      297.076       408066.       165630.   1.80680e+12
      370.535       687564.       287666.   4.12997e+11
      242.726       742721.       146325.   1.43347e+11
      132.954       213554.       44652.5   1.46411e+11
      123.539       145414.       36712.7   1.25967e+11
      93.6158       194325.       33352.0   1.28768e+11
      73.7338       125823.       36356.6   4.31028e+11
      298.020       509419.       197014.   1.61747e+11
      410.078       933889.       296007.   1.46642e+11
      120.242       231645.       59821.7   1.14529e+11
      152.765       215237.       52556.4   1.17130e+11
      191.761       318488.       98354.2   1.91916e+11
      625.019       930163.       479809.   8.08790e+11
      157.683       301443.       59947.6   6.44789e+11
      331.422       481531.       167030.   1.50371e+12
      152.964       317362.       62462.8   1.83127e+11
      565.871   1.11131e+06       397323.   6.69434e+11
      168.577       390629.       54567.7   2.36319e+11
      389.414       493255.       274652.   1.04134e+12
      153.989       381889.       88362.9   2.15576e+11
      147.000       266754.       82412.9   1.64386e+11
      249.684       618522.       171536.   1.28235e+11
      119.698       292630.       70809.5   4.92534e+11
      108.416       178014.       54003.0   1.47813e+11
      101.130       132190.       27901.5   7.26027e+10
      272.183       440958.       220005.   4.83215e+11
      249.116       893860.       138034.   9.00351e+11
      183.800       564987.       114315.   3.87192e+11
      417.321       609058.       217760.   3.93520e+11
      205.101       330088.       91031.8   3.38004e+11
      225.109       387507.       110779.   6.84754e+11
      365.008       522935.       200392.   4.50417e+11
      627.906   1.04230e+06       499017.   6.60276e+11
         -NaN          -NaN          -NaN          -NaN
      416.239       773056.       286452.   6.62459e+11
      157.925       246241.       73002.0   2.38531e+11
      632.615   8.01196e+06       369907.   6.12888e+11
      291.703       526951.       172073.   1.19002e+12
      297.160       739259.       211812.   2.38619e+11
      144.195       287247.       85869.7   1.45122e+11
      175.349       327901.       95293.0   5.96126e+11
      257.183       410653.       146422.   4.71124e+11
      220.064       317224.       72456.0   2.28003e+11
      228.701       390102.       108611.   4.36024e+11
      98.1198       199872.       41110.6   3.56006e+11
      130.455       243582.       61086.1   4.91617e+11
      150.408       213432.       61039.5   3.21928e+11
      173.109       318212.       77833.9   6.47060e+11
      231.847       333657.       60772.8   1.87492e+11
      303.654       562894.       188695.   2.46374e+11
      730.949   1.56977e+06       560599.   4.99177e+11
         -NaN          -NaN          -NaN          -NaN
      321.839       355135.       188756.   1.88671e+12
      318.288       581519.       180181.   3.43861e+11
      108.661       216360.       50392.6   5.91438e+11
         -NaN          -NaN          -NaN          -NaN
          Inf           Inf           Inf           Inf
      199.121       342578.       136533.   4.53324e+11
          Inf           Inf           Inf           Inf
      208.810       403372.       145246.   3.11916e+11
      102.997       171160.       50451.3   1.51131e+11
      133.994       201375.       68506.1   1.58076e+11
      277.349       881657.       174330.   1.82859e+11
      442.952       370822.   1.10960e+06   2.41346e+11
      124.581       292940.       77264.1   7.75651e+10
      568.228   5.67931e+06       328494.   4.95192e+11
      206.340       275224.       116425.   5.44476e+11
      109.670       391532.       60400.7   1.54136e+11
      520.613   1.34220e+06       419245.   2.36409e+11
      203.633       895500.       114288.   1.53711e+11
      157.858       381055.       64577.1   1.61096e+11
      235.027       384945.       165053.   2.14094e+11
      163.402       282830.       95287.0   1.48782e+11
      187.802       817932.       117268.   5.29838e+11
      108.325       142120.       30017.2   7.93385e+10
      338.945       589674.       222118.   7.95441e+11
      493.939       960609.       369511.   3.05019e+11
      187.621       472692.       104333.   1.93874e+11
      132.245       244724.       60347.2   2.02976e+11
      337.932       434897.       82109.5   2.19827e+11
      195.420       275837.       114143.   5.48991e+11
      110.345       364909.       42090.4   1.77106e+11
      104.267       270324.       61322.3   1.27074e+11
      620.126   1.44210e+06       508833.   7.79558e+11
      131.900       343141.       65259.6   2.05289e+11
      139.603       235764.       71069.6   2.11195e+11
      379.079       548910.       229499.   1.55995e+12
      183.684       258052.       79091.9   2.45878e+11
      136.264       208009.       53541.4   1.78890e+11
      885.796   1.51266e+06       628881.   5.12913e+11
      227.896       421543.       100527.   4.31115e+11
      548.685       807004.       367556.   6.45275e+11
      195.968       271652.       83564.9   2.68956e+11
      168.682       332701.       78577.5   2.17372e+11
      222.742       497107.       142961.   1.94866e+11
      162.709       176375.       47202.5   1.10719e+11
      229.516       435507.       129438.   3.60655e+11
      138.672       335185.       75914.2   3.54732e+11
      200.377       310621.       113075.   7.13252e+11
      534.705   1.27354e+06       385416.   1.02625e+12
      289.759       491106.       181617.   5.27723e+11
      144.801       245960.       73031.5   2.56503e+11
      280.284       483929.       158847.   1.89130e+11
      118.229       206437.       55512.4   6.20345e+11
      338.910       639857.       242092.   4.49149e+11
      153.562       521126.       76540.4   2.51294e+11
      138.331       323171.       76889.3   2.05030e+11
      133.067       309312.       73670.0   1.97445e+11
      258.675       341469.       68016.2   2.06737e+11
      366.575       658930.       276867.   6.38718e+11
      175.534       265836.       57927.9   1.69497e+11
      316.477       577439.       244838.   3.52598e+11
      228.576       374621.       134148.   3.55258e+11
      243.262       410941.       154342.   1.41379e+12
      234.060       366134.       155168.   2.42688e+11
      152.044       231945.       92354.0   1.29179e+12
      56.8201       106389.       23102.8   1.18046e+11
      301.371       499152.       194322.   2.80005e+11
      177.320       356259.       93561.8   8.58693e+11
      65.3645       112209.       28683.7   9.11964e+10
      140.887       227015.       67838.1   3.22960e+11
      135.022       212461.       49532.2   1.20750e+11
      114.530       148202.       43220.2   1.53591e+11
      144.173       192978.       56354.4   1.95624e+11
      202.844       360543.       104865.   2.43947e+11
